loan_id,age,annual_income,employment_type,years_employed,loan_amount,loan_term_months,interest_rate,loan_purpose,credit_score,num_credit_lines,debt_to_income_ratio,has_collateral,num_late_payments,region,default
LN000042,39.0,25416.16,full_time,10.7,1500.0,36,8.37,business,712.0,3,0.2988,0,1.0,East,1
LN000043,25.0,35710.52,full_time,5.3,13000.0,24,14.97,CAR,599.0,6,0.44,0,2.0,West,1
LN000044,46.0,83191.41,full_time,4.3,27800.0,36,10.16,Home,625.0,3,0.176,0,1.0,West,0
LN000045,35.0,17180.51,selfemployed,19.6,1800.0,36,14.33,CAR,625.0,2,0.0838,1,0.0,North,0
LN000046,30.0,42242.09,Full-Time,1.6,2700.0,24,10.1,education,722.0,1,0.2533,1,1.0,South,0
LN000047,47.0,89046.89,full_time,0.3,4100.0,36,12.97,personal,721.0,6,0.2384,1,0.0,West,0
LN000048,23.0,46346.56,Full-Time,3.6,40100.0,24,14.67,personal,663.0,4,0.2397,1,0.0,North,0
LN000049,41.0,180633.62,full_time,2.8,8000.0,48,9.13,Eduaction,752.0,4,0.2516,0,0.0,North,0
LN000050,49.0,17209.38,full_time,3.0,27400.0,48,16.93,PERSONAL,619.0,3,0.3484,1,1.0,South,1
LN000051,28.0,27534.07,part_time,4.8,24100.0,36,12.24,Bussiness,790.0,4,0.5027,1,1.0,South,0
LN000052,65.0,12224.77,Part-Time,4.8,3500.0,36,7.25,Eduaction,602.0,4,0.2859,1,0.0,South,0
LN000053,29.0,162139.82,Full Time,2.5,9800.0,12,9.4,home,493.0,5,0.3546,0,0.0,East,0
LN000054,56.0,27806.02,part_time,9.9,11100.0,36,10.57,home,549.0,3,0.1474,0,1.0,East,1
LN000055,35.0,,full_time,5.3,20100.0,48,10.14%,education,542.0,4,0.5707,1,2.0,East,1
LN000056,38.0,33956.94,unemployed,11.0,16000.0,48,3.0,home improvement,591.0,5,0.341,0,0.0,South,0
LN000057,57.0,21254.3,fulltime,12.2,12700.0,36,7.42,home,740.0,3,0.2691,1,0.0,North,0
LN000058,61.0,34102.61,full_time,0.9,33900.0,24,14.66,personal,614.0,4,0.2843,0,1.0,South,0
LN000059,25.0,50248.58,full_time,5.7,33500.0,12,11.08,home improvement,542.0,1,0.1131,1,0.0,South,0
LN000060,23.0,79455.52,full_time,1.9,4200.0,12,13.08,home improvement,534.0,7,0.2338,1,1.0,North,0
LN000061,27.0,44143.4,full_time,9.1,9300.0,24,12.92,educat,645.0,3,0.4441,0,1.0,South,0
LN000062,63.0,49770.34,PART TIME,6.6,13700.0,24,11.03,PERSONAL,772.0,4,0.2815,0,0.0,South,0
LN000063,25.0,34580.42,full_time,1.1,14300.0,24,8.99,car,668.0,5,0.3473,0,1.0,North,0
LN000064,50.0,19790.97,self_employed,14.0,20800.0,48,9.62,home,726.0,5,0.1786,0,2.0,North,1
LN000065,39.0,16188.82,part_time,5.8,18000.0,24,12.61%,Car,682.0,1,0.449,0,0.0,West,1
LN000066,47.0,39391.63,self_employed,14.8,21500.0,48,7.63,personal,528.0,4,0.3353,1,0.0,West,1
LN000067,65.0,51574.56,selfemployed,1.1,23600.0,36,13.58,Education,,2,0.1397,1,0.0,West,0
LN000068,55.0,37677.99,self_employed,10.2,10700.0,48,17.55,personal,559.0,6,,1,0.0,West,1
LN000069,31.0,16554.34,part_time,5.5,10200.0,24,3.0,car,617.0,4,0.3706,0,2.0,North,0
LN000070,57.0,55317.25,Full Time,4.0,40800.0,12,14.14,home,592.0,1,0.5522,1,0.0,North,0
LN000071,35.0,130298.46,full_time,8.6,9000.0,12,11.21,Bussiness,642.0,4,0.7069,0,1.0,East,0
LN000072,52.0,45762.13,part_time,5.0,24100.0,60,14.04,car,630.0,4,0.4832,1,1.0,West,1
LN000073,36.0,34623.28,unemployed,5.5,7300.0,36,9.7,Home,,2,0.3484,1,1.0,West,0
LN000074,29.0,47273.42,full_time,1.5,17500.0,36,17.53,Personal,628.0,2,0.29,0,0.0,East,0
LN000075,35.0,25269.97,full_time,8.5,18500.0,60,11.24,car,671.0,4,0.4168,1,1.0,East,1
LN000076,44.0,24310.42,full_time,5.3,22500.0,48,12.7,education,628.0,8,0.3359,0,1.0,West,1
LN000077,61.0,64270.01,full_time,9.3,47700.0,24,13.61,Home,636.0,3,0.4971,0,2.0,North,1
LN000078,42.0,88804.53,part_time,2.2,6000.0,36,12.54,personal,809.0,7,0.4821,0,0.0,East,0
LN000079,37.0,44879.71,Full Time,2.0,15100.0,48,12.72,Car,733.0,5,0.4834,0,0.0,North,0
LN000080,66.0,14999.03,full_time,0.1,22700.0,48,13.13,PERSONAL,610.0,3,0.1471,0,0.0,West,1
LN000081,39.0,60597.53,Self Employed,7.3,22700.0,24,10.03,EDUCATION,659.0,3,0.3406,1,1.0,South,0
LN000082,45.0,169469.68,part_time,2.0,10400.0,48,10.84,Auto,652.0,3,0.1861,1,2.0,South,0
LN000083,47.0,42347.35,full_time,2.0,18200.0,36,16.14,home,656.0,3,0.4731,0,1.0,North,1
LN000084,46.0,44059.34,unemployed,5.8,13200.0,48,5.82,education,648.0,4,0.4332,0,0.0,South,1
LN000085,66.0,29039.72,self_employed,1.5,24100.0,36,8.75,personal,657.0,1,0.2942,0,1.0,South,0
LN000086,62.0,65434.99,parttime,12.0,12500.0,36,5.14,education,630.0,5,0.395,0,3.0,East,1
LN000087,50.0,32774.63,Full-Time,3.9,12700.0,48,5.22,Personal,601.0,8,0.1245,1,1.0,North,0
LN000088,36.0,90481.54,full_time,17.4,16600.0,60,8.02,home,619.0,5,0.1779,0,0.0,South,0
LN000089,66.0,33039.25,part_time,0.4,9000.0,36,11.1,personal,511.0,6,0.0465,0,2.0,West,0
LN000090,22.0,60178.77,self_employed,2.1,7300.0,12,14.12,home,,6,0.4189,1,2.0,East,1
LN000091,46.0,47676.48,full_time,2.4,4600.0,36,13.53,home,689.0,5,0.0613,1,1.0,East,0
LN000092,28.0,124625.31,full_time,6.6,12000.0,12,14.45%,home,811.0,4,0.3033,0,1.0,North,0
LN000093,30.0,62673.1,selfemployed,1.2,7400.0,36,9.49%,Car,554.0,4,0.2401,0,0.0,East,0
LN000094,45.0,112668.41,full_time,2.4,10500.0,36,19.75,home,618.0,2,0.2732,1,1.0,West,0
LN000095,22.0,52322.1,full_time,12.1,36000.0,36,11.87,car,743.0,4,0.1531,0,1.0,East,0
LN000096,65.0,44247.57,unemployed,0.6,10800.0,24,17.4,car,679.0,6,0.2401,0,3.0,North,0
LN000097,29.0,47910.29,full_time,6.8,36500.0,12,10.34,business,781.0,3,0.1947,0,0.0,West,1
LN000098,45.0,30858.1,part_time,6.1,18200.0,24,9.25,car,768.0,3,0.1589,0,0.0,West,0
LN000099,32.0,,full_time,0.7,10700.0,36,13.12,Personal,456.0,3,0.3975,1,2.0,South,0
LN000100,38.0,32395.83,Self-Employed,5.8,5900.0,24,6.87,business,671.0,0,0.1445,0,2.0,South,0
LN000101,29.0,52442.77,unemployed,4.2,12200.0,36,6.82,Home,671.0,2,0.3045,0,0.0,South,0
LN000102,56.0,81889.1,Self-Employed,1.7,9700.0,48,16.9,home,648.0,4,0.3429,1,1.0,West,0
LN000103,56.0,126769.96,part_time,1.9,34500.0,48,12.42,personal,615.0,1,0.3366,1,,East,0
LN000104,54.0,54052.77,Full Time,8.9,64500.0,24,10.78,personal,775.0,1,0.3989,1,2.0,North,0
LN000105,26.0,82184.68,full_time,1.3,30500.0,36,17.38,home improvement,648.0,4,0.1233,1,1.0,North,0
LN000106,63.0,76506.63,full_time,3.6,7400.0,36,9.09,auto,399.0,0,,0,1.0,South,1
LN000107,60.0,38971.03,SELF_EMPLOYED,5.7,14000.0,36,22.56%,business,615.0,5,0.1384,0,1.0,East,0
LN000108,62.0,173630.03,full_time,0.7,11100.0,36,11.34,home,816.0,2,0.0921,0,1.0,West,0
LN000109,49.0,34691.66,parttime,13.5,8300.0,36,8.94,Personal,561.0,2,0.2476,1,1.0,North,0
LN000110,28.0,51771.59,full_time,1.5,12400.0,36,16.04,Personal,747.0,4,0.3255,0,1.0,South,1
LN000111,30.0,117297.87,Full-Time,1.9,12000.0,36,9.14,car,733.0,6,0.1932,1,5.0,North,1
LN000112,29.0,115575.0,part_time,5.5,58100.0,36,12.28,Personal,,6,0.4314,0,0.0,South,0
LN000113,33.0,49443.81,FULL TIME,0.4,17400.0,60,20.11,business,665.0,3,0.4202,1,0.0,North,0
LN000114,55.0,88809.6,unemployed,,25900.0,48,10.62,car,644.0,1,0.0566,0,2.0,West,1
LN000115,54.0,42856.67,full_time,12.4,30900.0,24,12.0,business,608.0,6,0.5494,0,0.0,South,1
LN000116,44.0,36563.02,full_time,1.4,24400.0,36,12.76,home,597.0,5,0.6881,0,2.0,North,1
LN000117,45.0,23678.59,self_employed,2.2,39800.0,24,16.85,PERSONAL,764.0,6,0.2993,0,1.0,East,0
LN000118,58.0,75684.51,Self Employed,1.3,9900.0,36,11.03,Personal,636.0,5,,1,0.0,East,1
LN000119,56.0,80622.46,parttime,8.5,28800.0,48,18.42,Personal,588.0,2,0.3404,1,1.0,South,0
LN000120,65.0,34865.97,unemployed ,0.9,64200.0,12,11.06,personal,,4,0.3439,0,0.0,North,0
LN000121,61.0,57575.94,fulltime,2.1,7500.0,24,15.24,Business,684.0,3,0.4476,1,1.0,South,0
LN000122,43.0,240528.31,unemployed,4.6,10200.0,12,9.75,personal,531.0,0,0.1439,0,0.0,West,0
LN000123,48.0,97539.18,full_time,2.6,9600.0,36,12.78,personal,598.0,8,0.471,0,2.0,East,0
LN000124,56.0,28541.36,full_time,0.3,74900.0,48,14.26,home,514.0,4,0.3157,0,0.0,West,1
LN000125,22.0,89405.49,self_employed,14.8,5700.0,36,12.0,PERSONAL,850.0,7,0.1269,0,0.0,North,0
LN000126,56.0,28620.63,full_time,2.1,14600.0,36,8.48,education,621.0,4,0.5567,0,2.0,East,1
LN000127,58.0,8628.87,full_time,2.9,19800.0,36,10.53,PERSONAL,596.0,8,0.563,0,1.0,East,1
LN000128,35.0,48424.09,SELF_EMPLOYED,0.9,8600.0,12,15.83,home,610.0,3,,1,0.0,East,1
LN000129,24.0,125231.7,full_time,10.0,6000.0,24,10.25,HOME,590.0,5,0.312,1,1.0,South,0
LN000130,22.0,113376.43,unemployed ,1.7,6900.0,60,20.34,personal,635.0,4,0.6578,0,1.0,East,0
LN000131,26.0,61472.25,full_time,0.1,10900.0,36,12.59,home,,7,0.5479,1,1.0,East,0
LN000132,47.0,35417.54,full_time,1.9,8700.0,36,12.59,home improvement,658.0,2,,1,0.0,South,1
LN000133,35.0,65635.36,parttime,20.7,42400.0,48,13.23,personal,539.0,6,0.2457,1,0.0,North,1
LN000134,60.0,41710.32,full_time,0.8,8800.0,12,12.56,education,558.0,3,0.2565,1,0.0,East,0
LN000135,48.0,36019.17,self_employed,0.2,8700.0,48,18.84,education,664.0,7,0.154,1,0.0,North,0
LN000136,30.0,92707.19,full_time,,18300.0,48,10.62,education,583.0,6,0.5544,0,2.0,East,1
LN000137,36.0,35752.61,unemployed,2.3,16900.0,24,13.76,HOME,635.0,9,0.4534,0,0.0,South,1
LN000138,36.0,96407.76,full_time,,1000.0,12,16.29,education,,2,0.2877,1,2.0,South,0
LN000139,47.0,34361.38,self_employed,6.6,6700.0,12,18.72,personal,570.0,8,0.3604,0,0.0,South,1
LN000140,63.0,168568.11,Self-Employed,1.0,8900.0,24,13.54,education,534.0,4,0.2441,0,0.0,West,0
LN000141,34.0,18317.63,full_time,4.2,5900.0,36,6.79,car,591.0,2,0.3037,1,0.0,West,0
LN000142,53.0,27610.14,Unemployed,0.2,28900.0,24,6.32,Auto,506.0,4,,0,0.0,East,0
LN000143,60.0,44657.58,part_time,2.9,4000.0,24,13.72,car,,2,0.2551,0,0.0,South,0
LN000144,53.0,14906.81,part_time,6.3,31000.0,36,14.03,personal,557.0,8,0.0159,0,0.0,West,0
LN000145,25.0,10481.93,full_time,2.7,2500.0,24,12.47,EDUCATION,572.0,3,0.2072,0,1.0,West,1
LN000146,51.0,14984.26,part_time,0.6,14300.0,24,10.97,home,543.0,4,0.6991,0,0.0,North,1
LN000147,58.0,41140.42,Full Time,0.3,46700.0,36,11.77,Personal,515.0,2,0.1752,1,0.0,West,0
LN000148,44.0,41771.68,self_employed,9.6,8300.0,48,11.67,Bussiness,646.0,6,0.4449,0,0.0,North,0
LN000149,60.0,59862.15,self_employed,,13600.0,60,11.52,home,590.0,6,0.2432,0,0.0,East,0
LN000150,66.0,43555.84,full_time,2.1,30400.0,36,13.61,BUSINESS,506.0,3,0.3391,0,0.0,North,1
LN000151,36.0,58671.53,full_time,0.9,29700.0,24,12.13,personal,620.0,3,0.01,0,0.0,North,0
LN000152,64.0,37416.62,SELF_EMPLOYED,19.2,17000.0,36,9.24,PERSONAL,679.0,4,0.4748,1,1.0,South,1
LN000153,50.0,75273.95,SELF_EMPLOYED,3.9,11600.0,60,10.62,PERSONAL,615.0,5,0.1878,0,2.0,North,1
LN000154,57.0,70023.49,unemployed,3.2,11500.0,60,6.5,business,698.0,7,0.4278,0,0.0,South,0
LN000155,34.0,40295.07,fulltime,6.8,4400.0,48,3.56,PERSONAL,786.0,4,0.4842,0,2.0,East,1
LN000156,53.0,67494.87,unemployed,0.9,5900.0,48,12.21,Eduaction,715.0,3,0.1813,0,0.0,West,0
LN000157,28.0,43722.25,full_time,4.3,13800.0,48,13.07,business,667.0,1,0.4645,0,1.0,West,0
LN000158,43.0,19665.17,UNEMPLOYED,11.0,16600.0,12,7.42,home,715.0,6,0.3069,0,2.0,West,1
LN000159,49.0,84347.29,full_time,0.1,104500.0,36,13.94%,home improvement,828.0,3,0.4245,1,2.0,South,0
LN000160,23.0,28450.2,full_time,5.6,24900.0,48,13.15,business,535.0,5,0.226,1,1.0,South,0
LN000161,63.0,83808.89,full_time,4.0,10100.0,12,9.32,personal,1030.0,4,0.2925,1,1.0,North,0
LN000162,66.0,59540.74,full_time,15.1,20100.0,60,11.64,home,570.0,5,0.2084,0,2.0,North,0
LN000163,27.0,46596.78,full_time,1.5,3300.0,24,6.71,home improvement,669.0,4,0.3391,1,1.0,South,1
LN000164,49.0,15895.7,part_time,9.8,14300.0,12,14.31,home,544.0,4,0.1875,0,1.0,South,1
LN000165,49.0,123481.59,unemployed,1.8,23100.0,24,4.02,car,710.0,5,0.1939,0,2.0,South,0
LN000166,65.0,39424.06,SELF_EMPLOYED,2.8,23300.0,36,11.25,PERSONAL,672.0,3,0.4555,0,0.0,West,1
LN000167,65.0,71735.29,full_time,1.2,12700.0,36,17.03,Personal,770.0,1,0.1427,0,1.0,North,0
LN000168,41.0,45780.59,PART TIME,,21100.0,12,11.85,Personal,628.0,5,0.524,0,0.0,West,0
LN000169,51.0,41653.42,full_time,1.1,10800.0,48,10.02,Home,626.0,3,0.1993,0,3.0,East,1
LN000170,32.0,55032.8,Full-Time,9.8,18300.0,24,6.54,education,627.0,6,0.2219,1,2.0,East,0
LN000171,49.0,49808.62,full_time,3.0,6300.0,36,20.56,PERSONAL,847.0,3,0.4711,0,1.0,West,0
LN000172,46.0,41764.6,PART TIME,9.0,5400.0,36,6.7,HOME,701.0,11,0.3369,0,2.0,North,1
LN000173,60.0,47420.56,part_time,1.5,36700.0,60,16.97,personal,758.0,7,0.5962,0,1.0,East,0
LN000174,54.0,63337.88,unemployed,0.7,11500.0,60,10.36,home improvement,708.0,5,0.2875,0,1.0,East,0
LN000175,22.0,66084.63,parttime,4.0,19000.0,24,12.7,Personal,721.0,2,0.6174,0,1.0,North,0
LN000176,48.0,50312.78,unemployed,3.6,7100.0,36,11.42,home,532.0,4,0.21,0,1.0,West,0
LN000177,34.0,71151.18,FULL TIME,2.2,5400.0,60,7.12,Personal,605.0,7,,1,1.0,East,0
LN000178,62.0,38008.23,unemployed,5.4,8600.0,36,8.81,Auto,600.0,4,0.3127,0,0.0,South,1
LN000179,24.0,186266.15,Self-Employed,0.5,18800.0,12,17.09,personal,655.0,5,0.3578,0,1.0,North,1
LN000180,60.0,119533.65,full_time,4.9,2600.0,48,3.41,car,642.0,5,0.374,1,2.0,North,0
LN000181,27.0,77456.04,full_time,1.2,15800.0,36,11.32,personal,521.0,7,0.2973,0,1.0,South,1
LN000182,29.0,15291.49,Full Time,0.7,23000.0,60,18.92,EDUCATION,653.0,4,0.3655,0,0.0,West,0
LN000183,48.0,70517.17,Full-Time,12.0,6600.0,36,13.83,home,489.0,6,0.3807,0,3.0,North,1
LN000184,30.0,,unemployed,3.1,16200.0,36,13.83%,personal,712.0,2,0.188,1,0.0,North,0
LN000185,58.0,27249.53,self_employed,7.2,15200.0,60,13.96,personal,658.0,3,0.2795,1,0.0,South,0
LN000186,54.0,39448.15,self_employed,0.5,6700.0,36,11.76,PERSONAL,750.0,2,0.4503,0,0.0,East,0
LN000187,63.0,29123.46,part_time,0.3,11900.0,36,10.31,PERSONAL,667.0,3,0.1246,1,3.0,West,1
LN000188,65.0,66441.81,full_time,3.4,13200.0,48,16.66,PERSONAL,613.0,6,0.5051,0,1.0,South,1
LN000189,45.0,129261.97,part_time,1.9,6700.0,36,7.35,home,524.0,5,0.2741,1,,West,0
LN000190,36.0,,self_employed,0.0,10100.0,24,14.05,personal,618.0,6,,0,0.0,North,0
LN000191,53.0,257175.79,Full-Time,1.0,13100.0,36,8.32,Home,587.0,4,0.4873,0,0.0,South,1
LN000192,53.0,19299.46,full_time,-10.0,16800.0,36,9.41,Car,680.0,3,0.2782,0,1.0,East,1
LN000193,45.0,36184.25,Self Employed,1.7,60600.0,60,16.61,auto,616.0,5,0.3657,1,0.0,West,0
LN000194,62.0,27838.77,full_time,10.5,6200.0,12,10.73,business,698.0,1,0.1791,0,1.0,North,0
LN000195,33.0,102500.3,Self-Employed,2.7,39500.0,48,9.48,business,758.0,6,0.6545,0,0.0,West,0
LN000196,60.0,42944.75,full_time,5.7,6500.0,12,18.73,home,537.0,1,0.5654,1,5.0,South,1
LN000197,23.0,54924.22,full_time,0.1,13300.0,36,7.99,auto,650.0,1,0.4012,1,3.0,South,0
LN000198,24.0,71697.51,self_employed,8.4,27900.0,36,19.82,personal,646.0,3,,0,0.0,East,0
LN000199,58.0,20478.42,fulltime,1.4,19000.0,60,12.98,CAR,675.0,2,0.3373,0,2.0,East,1
LN000200,38.0,,part_time,1.8,2000.0,36,16.65,PERSONAL,,7,0.3389,0,0.0,South,0
LN000201,23.0,89175.32,full_time,0.2,31800.0,48,8.97,car,777.0,3,0.2288,1,2.0,West,0
LN000202,23.0,35282.67,self_employed,2.6,17300.0,48,15.82,Business,561.0,0,0.4293,1,0.0,East,0
LN000203,49.0,17532.55,Full-Time,9.6,8600.0,36,15.56,PERSONAL,524.0,5,0.2012,0,1.0,South,0
LN000204,44.0,28528.03,unemployed,2.4,12000.0,36,9.7,personal,665.0,3,0.3977,0,0.0,East,0
LN000205,58.0,41284.37,fulltime,12.0,18800.0,24,10.47,car,686.0,7,0.4471,1,0.0,South,0
LN000206,53.0,54179.41,Full-Time,10.1,21400.0,12,5.92,personal,708.0,6,0.3951,0,0.0,South,1
LN000207,54.0,46981.63,parttime,0.3,20700.0,12,7.7,Auto,589.0,5,0.238,1,0.0,South,0
LN000208,22.0,33910.14,full_time,1.8,7500.0,24,15.19,business,524.0,6,0.4971,0,0.0,North,0
LN000209,40.0,86127.85,selfemployed,12.1,13200.0,36,11.35,PERSONAL,748.0,4,0.2282,0,0.0,North,0
LN000210,23.0,45368.05,part_time,0.2,6800.0,60,6.6,Personal,691.0,2,0.4056,0,0.0,East,0
LN000211,65.0,55583.45,self_employed,7.3,24700.0,48,13.84,home,620.0,1,0.0462,0,1.0,West,1
LN000212,47.0,35011.31,self_employed,11.8,11000.0,12,17.43,home,478.0,4,0.5672,0,1.0,North,1
LN000213,53.0,121220.22,FULL TIME,7.4,18900.0,36,16.22%,personal,596.0,3,0.2738,1,3.0,West,0
LN000214,27.0,38755.24,Full-Time,,8900.0,36,16.49,CAR,706.0,5,0.2764,0,1.0,West,0
LN000215,53.0,51267.68,full_time,9.3,14300.0,36,4.34,Car,685.0,4,0.2838,0,3.0,North,1
LN000216,25.0,91217.28,self_employed,5.5,11500.0,36,13.85,Home,540.0,7,0.4088,0,1.0,South,0
LN000217,32.0,57989.97,part_time,2.8,5100.0,24,4.51,PERSONAL,700.0,1,,1,0.0,South,0
LN000218,38.0,57128.24,self_employed,0.3,32000.0,60,7.09,home,643.0,4,0.01,0,1.0,East,1
LN000219,59.0,15000.02,self_employed,7.8,22800.0,36,15.81,education,,9,0.1937,1,1.0,East,0
LN000220,45.0,73745.92,FULL TIME,11.8,4800.0,48,13.51,business,594.0,8,0.4935,1,0.0,South,0
LN000221,26.0,50683.32,self_employed,3.6,6900.0,36,17.41,personal,601.0,5,0.4013,0,0.0,West,1
LN000222,55.0,67842.16,Full-Time,3.8,8300.0,24,11.34,business,659.0,8,0.2027,0,1.0,South,0
LN000223,27.0,54716.9,full_time,2.6,38300.0,48,16.98,PERSONAL,617.0,4,0.4419,0,0.0,North,0
LN000224,43.0,35049.11,full_time,9.7,26700.0,60,13.16,car,580.0,4,0.7996,1,1.0,North,0
LN000225,32.0,83833.19,full_time,0.1,15900.0,36,8.37,education,797.0,2,0.3635,0,0.0,South,0
LN000226,37.0,55208.71,full_time,4.9,3800.0,24,15.87,business,764.0,6,0.2432,1,1.0,North,0
LN000227,54.0,22614.99,self_employed,11.9,19200.0,36,11.98,personal,573.0,5,0.2858,1,3.0,East,1
LN000228,30.0,107485.4,full_time,0.5,15300.0,36,13.06,HOME,,3,0.1404,0,2.0,East,0
LN000229,27.0,20779.29,full_time,16.0,10100.0,36,16.44,education,527.0,4,0.48,0,0.0,East,1
LN000230,37.0,84166.94,FULL TIME,17.2,38500.0,60,21.34,personal,786.0,8,0.0615,0,1.0,South,0
LN000231,50.0,119630.02,full_time,13.3,11400.0,48,10.63,car,711.0,4,0.3818,0,1.0,East,0
LN000232,24.0,25240.94,unemployed,3.1,34400.0,36,14.4,auto,730.0,3,0.0131,1,0.0,North,0
LN000233,41.0,45539.84,Full Time,2.4,10000.0,36,11.55,Home,630.0,3,0.3962,0,3.0,West,1
LN000234,57.0,43063.5,unemployed,6.1,6700.0,24,9.28,PERSONAL,744.0,2,0.4102,0,0.0,East,1
LN000235,40.0,44241.45,fulltime,1.9,4900.0,36,11.53,Bussiness,744.0,5,0.3861,0,2.0,South,0
LN000236,47.0,146993.41,selfemployed,0.4,12500.0,36,15.24,Car,637.0,1,0.4003,0,1.0,West,0
LN000237,24.0,,self_employed,11.6,13800.0,12,15.11,personal,558.0,5,0.6014,0,0.0,North,0
LN000238,40.0,40784.6,self_employed,5.0,6200.0,36,6.16,Eduaction,,6,0.1134,1,1.0,North,0
LN000239,41.0,120812.31,full_time,1.2,6500.0,36,10.94,Eduaction,640.0,1,0.5262,1,1.0,South,0
