Marketing_Spend,Price,Sales,Month,Region,Product_Category,Channel
2317.21,43.29,518.95,11,North,Basic,Online
2922.42,43.07,678.94,8,East,Basic,Online
3390.77,34.76,807.95,12,North,Basic,Online
1638.6,111.23,6.79,1,East,Premium,Retail
2672.35,36.2,625.38,10,South,Basic,Online
887.94,37.26,235.59,8,West,Basic,Retail
1342.44,42.08,209.17,5,North,Basic,Retail
1050.84,116.71,0.0,4,South,Premium,Retail
2384.78,113.76,330.87,8,North,Premium,Online
2475.73,115.85,245.57,8,West,Premium,Online
3531.75,105.39,537.17,11,West,Premium,Online
2530.65,38.38,470.6,8,North,Basic,Retail
2106.22,37.21,591.54,3,East,Basic,Online
2288.88,31.21,299.41,12,West,Basic,Retail
2351.5,42.23,319.82,8,East,Basic,Retail
2503.9,112.53,274.82,1,South,Premium,Online
2814.34,43.67,703.9,4,North,Basic,Online
1884.18,45.55,452.93,5,North,Basic,Retail
1743.24,33.15,527.13,6,West,Basic,Online
2743.68,47.69,552.12,5,West,Basic,Online
3712.31,125.5,134.62,5,East,Premium,Retail
1836.16,40.02,411.15,5,South,Basic,Online
2304.83,115.06,0.0,9,South,Premium,Retail
2087.4,27.2,385.87,10,East,Basic,Retail
2978.11,40.02,398.13,10,West,Basic,Retail
1897.63,118.23,128.16,3,West,Premium,Online
2826.69,121.95,224.74,2,East,Premium,Online
2946.46,29.58,719.32,10,East,Basic,Online
3667.85,44.04,671.07,2,North,Basic,Online
2517.05,44.73,637.39,8,North,Basic,Online
3214.63,41.29,665.3,5,West,Basic,Online
2451.15,110.98,218.67,5,East,Premium,Online
5207.36,38.07,1144.95,6,North,Basic,Online
2237.5,114.24,41.33,9,North,Premium,Retail
6914.87,111.17,938.67,7,East,Premium,Online
1585.44,33.48,342.87,5,North,Basic,Online
3417.47,41.1,624.33,5,North,Basic,Retail
2787.5,35.85,356.3,10,South,Basic,Retail
3833.29,38.05,670.7,9,East,Basic,Online
5003.74,42.47,868.91,9,East,Basic,Online
1456.46,39.17,501.21,2,North,Basic,Online
8534.78,118.01,438.86,7,East,Premium,Retail
3380.11,39.29,461.26,10,North,Basic,Retail
5768.93,128.01,245.17,1,South,Premium,Retail
7210.73,45.54,1228.69,4,East,Basic,Online
3777.18,105.6,423.84,2,East,Premium,Online
3148.53,115.22,337.42,10,West,Premium,Online
3571.1,40.07,452.88,9,East,Basic,Retail
1153.41,122.48,0.0,12,East,Premium,Retail
3249.07,39.07,352.47,6,North,Basic,Retail
4576.65,115.63,610.47,4,South,Premium,Online
6505.59,116.43,898.58,3,North,Premium,Online
2839.24,38.63,662.81,4,North,Basic,Online
2698.04,41.07,286.52,2,West,Basic,Retail
3132.84,41.83,438.75,5,South,Basic,Retail
2701.72,38.25,640.52,9,West,Basic,Online
2585.09,126.64,283.47,6,East,Premium,Online
2312.09,117.76,195.23,2,East,Premium,Online
2336.11,44.87,585.96,6,South,Basic,Online
1290.48,120.38,0.0,9,East,Premium,Retail
2741.77,115.55,237.61,4,South,Premium,Online
7256.66,42.34,617.91,1,North,Basic,Retail
3480.58,27.42,760.6,2,East,Basic,Online
2351.94,39.21,352.93,5,North,Basic,Retail
3868.4,103.32,560.34,10,North,Premium,Online
2220.13,113.87,173.11,7,East,Premium,Retail
1956.79,35.29,501.38,8,North,Basic,Online
2056.0,39.08,502.17,3,West,Basic,Online
1685.86,119.24,10.06,9,West,Premium,Online
1220.07,109.42,144.08,2,West,Premium,Online
2310.31,115.16,151.92,4,South,Premium,Online
4074.33,37.49,789.81,4,North,Basic,Online
3460.62,50.27,378.68,6,West,Basic,Retail
3343.58,38.85,695.63,10,South,Basic,Online
6141.43,33.63,681.54,6,West,Basic,Retail
1789.0,124.27,0.0,3,West,Premium,Retail
3406.44,37.87,755.46,9,West,Basic,Online
2838.43,111.35,134.92,11,North,Premium,Retail
5611.47,44.13,963.38,5,South,Basic,Online
1948.55,113.42,97.21,2,West,Premium,Online
5223.08,37.19,1030.88,6,South,Basic,Online
2994.49,38.1,412.93,3,North,Basic,Retail
6811.25,43.52,1167.82,8,East,Basic,Online
2815.29,47.15,606.1,3,West,Basic,Online
2800.45,125.74,233.52,5,East,Premium,Online
2170.11,38.94,412.01,4,East,Basic,Retail
3052.93,46.72,640.25,4,North,Basic,Online
1101.0,121.87,0.0,2,East,Premium,Retail
2291.62,118.19,58.73,8,West,Premium,Retail
2059.49,36.07,413.86,3,North,Basic,Retail
1449.37,122.38,0.0,4,South,Premium,Retail
2251.0,47.99,407.32,6,West,Basic,Retail
2079.63,45.21,431.81,9,East,Basic,Online
3123.15,33.14,767.46,12,East,Basic,Online
4125.84,40.9,873.64,4,East,Basic,Online
3923.97,35.01,799.55,3,South,Basic,Online
6655.59,40.23,1278.16,5,North,Basic,Online
3220.55,41.48,648.31,9,West,Basic,Online
1414.4,119.14,125.99,1,West,Premium,Online
1978.0,44.96,308.32,5,West,Basic,Retail
2656.31,102.44,329.56,11,West,Premium,Online
1556.14,126.69,0.0,4,South,Premium,Retail
4796.06,37.38,937.67,5,South,Basic,Online
3950.06,34.32,497.69,7,East,Basic,Retail
3322.94,45.02,453.8,7,East,Basic,Retail
2017.93,119.84,219.57,7,East,Premium,Online
3002.34,43.96,569.13,1,East,Basic,Online
7986.39,39.94,1359.84,9,West,Basic,Online
2565.19,106.9,299.91,7,South,Premium,Online
2194.96,35.81,337.93,4,South,Basic,Retail
4999.57,40.59,564.68,4,North,Basic,Retail
2557.14,38.91,554.81,2,East,Basic,Online
3359.42,126.43,415.26,6,North,Premium,Online
3372.55,106.73,366.66,12,South,Premium,Online
3458.85,43.45,727.39,10,South,Basic,Online
1756.57,42.93,277.48,3,North,Basic,Retail
4719.73,105.81,665.3,1,East,Premium,Online
2738.97,117.51,194.2,5,North,Premium,Online
4533.54,118.15,668.87,6,North,Premium,Online
2935.85,40.98,636.73,11,West,Basic,Online
1327.51,111.4,32.98,5,South,Premium,Retail
1217.68,42.99,460.16,5,North,Basic,Online
3390.01,39.46,592.65,12,South,Basic,Retail
1125.79,126.57,0.0,10,East,Premium,Retail
5827.89,32.42,1121.81,11,North,Basic,Online
4166.54,121.38,586.72,8,East,Premium,Online
6654.37,34.44,707.9,10,North,Basic,Retail
2057.94,130.31,0.0,1,North,Premium,Retail
6675.88,37.88,754.74,8,South,Basic,Retail
3279.52,99.06,464.67,11,South,Premium,Online
4890.46,35.66,741.27,7,East,Basic,Retail
3982.14,43.95,793.95,1,East,Basic,Online
1004.91,119.83,0.0,9,West,Premium,Retail
12871.06,42.34,1016.19,12,South,Basic,Retail
6130.66,46.95,949.72,4,South,Basic,Online
3850.13,44.86,455.3,7,East,Basic,Retail
5947.76,122.17,806.93,3,North,Premium,Online
3459.67,35.02,537.09,8,South,Basic,Retail
4873.38,35.45,1017.65,4,North,Basic,Online
2871.58,34.08,301.07,2,North,Basic,Retail
1754.66,117.75,70.92,2,West,Premium,Online
2767.87,49.63,313.61,8,West,Basic,Retail
3109.16,37.97,762.99,8,East,Basic,Online
3933.44,126.21,394.77,1,South,Premium,Online
2571.37,109.75,436.59,6,North,Premium,Online
2860.17,37.74,407.28,9,North,Basic,Retail
1734.6,113.08,153.55,9,North,Premium,Online
4186.44,41.36,788.62,2,South,Basic,Online
2273.58,40.97,492.86,8,East,Basic,Online
4224.28,31.7,517.87,8,East,Basic,Retail
3449.12,113.53,454.74,4,North,Premium,Online
4482.42,44.87,813.21,4,West,Basic,Online
2910.04,43.92,520.04,5,East,Basic,Online
5675.44,31.51,957.27,11,East,Basic,Online
3330.98,113.96,293.31,10,East,Premium,Online
4532.66,38.61,848.41,7,South,Basic,Online
1194.95,35.61,343.78,1,North,Basic,Retail
2289.33,37.83,304.18,11,South,Basic,Retail
2894.71,116.61,273.98,9,East,Premium,Online
6059.98,122.37,705.37,3,North,Premium,Online
3949.72,34.88,569.9,11,North,Basic,Retail
1509.16,121.96,152.92,4,North,Premium,Online
4116.54,37.41,588.38,7,North,Basic,Retail
1889.14,115.17,134.21,5,West,Premium,Online
2182.83,38.96,526.47,5,East,Basic,Online
2882.92,31.6,688.87,1,South,Basic,Online
3031.03,119.63,63.08,2,North,Premium,Retail
2085.51,122.97,142.16,5,South,Premium,Online
1348.41,33.59,456.81,2,South,Basic,Online
3020.23,44.08,647.75,1,North,Basic,Online
2189.21,40.38,311.3,10,South,Basic,Retail
4615.41,120.89,231.11,3,South,Premium,Retail
4011.21,36.99,827.89,11,East,Basic,Online
5294.8,37.76,1033.34,1,East,Basic,Online
6935.44,41.75,732.52,10,North,Basic,Retail
2271.22,116.46,269.58,8,South,Premium,Online
7626.61,36.33,1405.11,8,East,Basic,Online
5687.02,44.97,976.78,8,South,Basic,Online
1067.93,33.78,402.42,7,West,Basic,Retail
3615.71,36.78,778.87,7,East,Basic,Online
3676.23,44.14,481.4,2,North,Basic,Retail
3807.97,113.11,537.25,9,North,Premium,Online
8295.95,116.74,1172.79,7,East,Premium,Online
3490.38,33.13,541.24,5,North,Basic,Retail
1636.99,115.54,175.89,4,East,Premium,Online
5059.12,32.15,893.31,8,West,Basic,Online
1523.77,36.38,279.3,5,East,Basic,Retail
2385.08,120.83,0.0,6,South,Premium,Retail
4178.01,39.72,447.87,4,East,Basic,Retail
3772.75,45.47,355.28,2,South,Basic,Retail
3111.68,116.18,59.79,12,South,Premium,Retail
2556.09,37.41,619.21,7,West,Basic,Online
3416.15,114.78,469.18,12,South,Premium,Online
2180.9,119.3,0.0,2,West,Premium,Retail
2744.26,32.21,785.45,11,West,Basic,Online
5634.79,31.79,709.8,12,North,Basic,Retail
2804.0,47.31,420.75,7,North,Basic,Retail
3672.56,45.45,797.05,7,North,Basic,Online
2408.31,38.99,263.82,1,North,Basic,Retail
4476.25,117.19,523.28,10,North,Premium,Online
3492.77,38.05,650.01,10,East,Basic,Online
3729.28,28.65,510.54,12,North,Basic,Retail
1936.31,38.66,504.5,3,South,Basic,Online
3115.99,28.71,618.91,3,West,Basic,Online
5780.0,100.41,886.32,11,North,Premium,Online
2481.5,39.93,410.63,6,West,Basic,Retail
3609.81,111.65,218.71,11,North,Premium,Retail
4050.04,31.63,630.75,3,North,Basic,Retail
2244.7,36.84,404.57,12,East,Basic,Retail
2185.75,38.85,601.64,9,East,Basic,Online
2172.73,39.18,411.54,5,West,Basic,Retail
4573.29,41.64,534.88,6,East,Basic,Retail
925.47,42.98,526.81,6,West,Basic,Online
3783.52,117.82,592.12,8,North,Premium,Online
1948.92,47.69,244.05,10,North,Basic,Retail
3781.27,107.02,277.58,11,East,Premium,Retail
2194.51,34.92,275.4,3,West,Basic,Retail
3836.18,49.06,421.37,9,West,Basic,Retail
5007.58,51.18,1012.02,7,South,Basic,Online
2760.69,38.7,461.12,11,South,Basic,Retail
2488.31,106.43,292.22,6,East,Premium,Online
4374.95,36.36,846.69,11,South,Basic,Online
2004.75,36.53,231.97,1,West,Basic,Retail
2557.21,46.49,620.83,4,West,Basic,Online
1435.06,39.94,307.18,5,South,Basic,Retail
4214.66,107.27,655.87,12,East,Premium,Online
2479.25,40.86,447.3,2,East,Basic,Online
2723.49,123.92,329.78,1,North,Premium,Online
550.37,35.21,220.87,2,West,Basic,Online
3794.71,121.4,397.53,8,South,Premium,Online
1827.15,108.34,72.08,10,West,Premium,Online
3857.8,39.57,491.5,6,South,Basic,Retail
2894.75,32.44,607.23,10,West,Basic,Online
1527.5,113.44,132.89,2,South,Premium,Online
3121.87,45.04,672.61,9,North,Basic,Online
3191.74,118.25,145.43,8,West,Premium,Retail
8364.92,35.63,1475.77,4,North,Basic,Online
4005.34,41.27,444.48,11,South,Basic,Retail
1282.92,122.89,0.0,10,West,Premium,Retail
8490.49,30.02,1560.56,7,West,Basic,Online
2752.65,38.86,599.66,3,East,Basic,Online
2839.33,40.31,420.85,6,East,Basic,Retail
5801.69,43.9,535.74,3,South,Basic,Retail
2016.92,118.58,54.79,10,North,Premium,Retail
2757.31,127.12,276.49,3,South,Premium,Online
1888.49,111.72,165.31,12,East,Premium,Online
3866.28,28.24,953.89,11,East,Basic,Online
2910.4,37.37,617.34,9,East,Basic,Online
3289.88,122.93,371.05,6,East,Premium,Online
3630.01,38.52,585.91,8,North,Basic,Retail
2047.09,39.73,521.3,4,South,Basic,Online
5172.86,119.83,266.55,4,North,Premium,Retail
3083.86,27.83,505.69,8,South,Basic,Retail
2643.59,37.21,705.2,7,South,Basic,Online
1225.82,37.73,169.56,5,West,Basic,Retail
3023.04,47.29,567.24,2,South,Basic,Online
5110.51,46.63,689.97,6,North,Basic,Retail
3839.47,111.8,444.08,1,North,Premium,Online
9615.32,31.91,1644.96,7,East,Basic,Online
6289.17,43.58,631.91,9,East,Basic,Retail
1839.36,117.65,148.4,5,North,Premium,Online
1368.3,40.85,321.81,5,North,Basic,Retail
2782.92,31.45,673.67,12,East,Basic,Online
5675.02,38.88,1098.69,7,North,Basic,Online
3341.45,114.23,297.43,5,West,Premium,Online
4909.23,33.63,971.47,10,East,Basic,Online
2592.53,35.2,658.97,12,North,Basic,Online
1521.59,36.74,374.55,12,North,Basic,Retail
1757.89,33.85,237.87,4,West,Basic,Retail
3152.71,38.07,411.21,1,South,Basic,Retail
3289.27,116.49,126.66,6,South,Premium,Retail
4910.71,38.24,901.83,9,West,Basic,Online
1665.06,117.92,0.0,4,West,Premium,Retail
4388.13,47.37,674.46,10,West,Basic,Online
2449.81,37.04,338.4,11,East,Basic,Retail
4200.61,36.81,803.22,4,South,Basic,Online
3770.46,124.97,127.12,5,North,Premium,Retail
6542.48,109.51,408.6,6,East,Premium,Retail
1395.16,122.81,0.0,3,East,Premium,Retail
4512.23,121.02,162.2,9,South,Premium,Retail
2803.65,121.47,0.0,1,West,Premium,Retail
3473.45,33.65,471.86,11,North,Basic,Retail
3520.43,43.3,780.78,6,South,Basic,Online
3998.47,40.9,911.23,6,North,Basic,Online
3805.03,43.44,828.79,8,South,Basic,Online
1585.81,34.91,477.94,5,North,Basic,Online
3650.52,44.65,767.36,9,North,Basic,Online
3501.52,36.6,770.54,9,North,Basic,Online
2926.5,30.03,764.66,12,East,Basic,Online
2586.68,49.15,407.32,2,East,Basic,Retail
4187.42,44.15,515.56,5,East,Basic,Retail
2685.45,119.23,213.73,12,West,Premium,Online
2238.86,39.1,537.67,7,South,Basic,Online
2362.78,44.05,657.48,2,North,Basic,Online
1384.85,123.68,0.0,7,West,Premium,Online
5990.65,38.27,606.97,9,North,Basic,Retail
2436.09,31.33,724.94,8,West,Basic,Online
5773.58,41.23,1006.9,10,North,Basic,Online
1312.62,41.42,181.88,9,West,Basic,Retail
2025.83,41.64,324.65,4,North,Basic,Retail
3645.0,39.2,687.53,8,West,Basic,Online
3235.16,37.42,443.98,9,South,Basic,Retail
2716.98,114.62,294.5,10,West,Premium,Online
2066.54,39.97,646.89,12,North,Basic,Online
3038.28,24.01,594.69,2,East,Basic,Online
4941.07,30.84,966.35,10,West,Basic,Online
3426.55,30.13,717.76,3,South,Basic,Online
8442.94,107.73,1051.85,1,East,Premium,Online
2753.1,39.29,480.18,1,East,Basic,Retail
3820.0,122.8,30.03,10,South,Premium,Retail
4983.96,41.77,1007.92,6,East,Basic,Online
2342.64,111.63,216.37,1,East,Premium,Online
2231.07,31.44,363.17,5,West,Basic,Retail
6816.82,40.01,1260.55,6,North,Basic,Online
2289.32,122.56,75.53,9,North,Premium,Retail
3468.16,122.9,202.5,6,West,Premium,Retail
2119.77,32.25,513.36,4,West,Basic,Online
4495.52,121.66,413.73,1,South,Premium,Online
4084.06,40.09,778.18,6,East,Basic,Online
6096.87,34.32,1310.34,7,North,Basic,Online
5728.5,36.13,1121.2,5,North,Basic,Online
4137.64,115.54,178.18,6,South,Premium,Retail
2728.3,113.62,343.13,10,South,Premium,Online
3657.66,44.57,754.7,8,East,Basic,Online
1268.09,41.75,451.03,1,North,Basic,Online
4294.21,33.77,769.04,8,West,Basic,Online
5678.93,34.72,1063.55,12,West,Basic,Online
2254.04,37.85,532.62,11,East,Basic,Online
2757.97,29.27,536.32,2,South,Basic,Online
2236.01,42.99,260.16,2,South,Basic,Retail
4363.37,48.89,835.33,8,West,Basic,Online
2722.61,41.58,316.5,2,East,Basic,Retail
2740.93,116.7,393.98,8,North,Premium,Online
5788.92,31.75,1065.6,5,West,Basic,Online
1323.33,27.91,369.46,9,West,Basic,Online
1746.29,37.45,343.12,9,West,Basic,Retail
2161.03,41.61,602.17,8,East,Basic,Online
3655.9,38.41,759.09,9,East,Basic,Online
4606.94,123.61,502.8,7,South,Premium,Online
3360.12,119.41,416.73,8,West,Premium,Online
2052.1,113.69,260.42,6,West,Premium,Online
1758.91,46.29,346.68,9,North,Basic,Retail
4886.82,42.1,914.24,2,North,Basic,Online
2335.92,32.11,417.39,3,South,Basic,Retail
2284.78,112.74,271.28,2,West,Premium,Online
2117.83,117.54,125.53,6,West,Premium,Retail
2535.59,48.83,266.48,3,North,Basic,Retail
5083.97,38.46,983.61,11,East,Basic,Online
2168.77,114.85,0.0,1,South,Premium,Retail
2787.11,55.84,242.5,4,West,Basic,Retail
1387.72,121.45,0.0,5,West,Premium,Online
5900.17,104.94,752.45,12,West,Premium,Online
3006.66,34.66,478.86,11,South,Basic,Retail
1903.44,115.06,125.45,4,South,Premium,Online
5038.22,113.48,643.2,6,North,Premium,Online
2903.04,126.52,173.72,3,North,Premium,Retail
1691.04,38.58,442.77,10,West,Basic,Online
2743.26,44.65,313.3,6,West,Basic,Retail
1817.08,39.38,257.5,10,West,Basic,Retail
1296.6,38.2,249.5,1,West,Basic,Retail
3254.88,36.27,720.68,6,East,Basic,Online
2458.34,39.29,577.65,8,East,Basic,Online
1616.83,113.78,67.21,10,West,Premium,Online
4429.15,39.05,929.46,8,West,Basic,Online
3753.25,36.41,826.66,1,North,Basic,Online
3330.17,32.61,691.1,7,South,Basic,Online
1192.81,115.84,0.0,10,North,Premium,Online
2714.83,30.49,548.37,10,West,Basic,Online
4533.2,43.97,608.02,12,East,Basic,Retail
4614.99,122.51,168.66,4,North,Premium,Retail
5089.18,35.42,580.0,12,East,Basic,Retail
1884.82,31.16,408.09,6,East,Basic,Retail
2634.23,117.67,230.27,6,South,Premium,Online
2482.85,121.14,52.19,5,North,Premium,Retail
2462.26,42.09,308.59,10,East,Basic,Retail
3000.07,113.81,286.05,9,South,Premium,Online
6512.3,106.52,867.52,11,East,Premium,Online
3231.43,48.56,703.8,10,South,Basic,Online
6114.68,36.65,1157.33,8,West,Basic,Online
2777.56,41.56,679.37,12,East,Basic,Online
3302.34,39.13,716.12,6,East,Basic,Online
1895.03,39.29,330.95,4,West,Basic,Retail
2885.27,118.24,356.36,4,South,Premium,Online
1776.49,36.57,485.68,9,North,Basic,Online
8025.45,113.46,442.43,12,North,Premium,Retail
3253.27,43.93,696.39,4,East,Basic,Online
1924.47,44.51,243.71,7,East,Basic,Retail
2412.32,44.83,555.94,6,East,Basic,Online
2774.63,36.88,412.36,2,North,Basic,Retail
4269.86,39.48,854.52,5,North,Basic,Online
4992.92,128.27,737.3,3,North,Premium,Online
3023.03,34.43,670.81,9,South,Basic,Online
3353.74,39.44,435.34,10,East,Basic,Retail
2821.92,113.94,69.15,1,South,Premium,Retail
2822.7,39.74,593.78,10,South,Basic,Online
1967.89,45.21,293.43,4,West,Basic,Retail
