Salary,Years_Experience,Age,Performance_Score,Education_Level,Department,Region,Job_Level,Gender
82808.0,4.0,27.0,2.6,Master,Finance,West,Junior,Male
132537.0,14.0,38.0,3.4,Bachelor,Engineering,East,Senior,Male
78606.0,2.0,25.0,1.0,Master,Engineering,East,Junior,Female
16497.0,5.0,27.0,4.4,Bachelor,Engineering,South,Mid,Male
67425.0,2.0,21.0,2.1,Bachelor,Sales,West,Junior,Male
62827.0,6.0,25.0,1.3,Bachelor,Sales,North,Junior,Female
101628.0,5.0,33.0,4.0,Bachelor,Engineering,North,Mid,Male
85617.0,6.0,29.0,2.3,Bachelor,HR,North,Mid,Male
53983.0,0.0,26.0,3.3,Bachelor,Sales,East,Junior,Male
100815.0,5.0,,4.4,Bachelor,Engineering,West,Mid,Female
65861.0,1.0,23.0,4.1,Master,Marketing,South,Junior,Male
96210.0,4.0,35.0,2.3,Bachelor,Engineering,North,Mid,Female
116763.0,14.0,37.0,4.5,Master,HR,,Senior,Female
125755.0,15.0,36.0,2.6,,Engineering,North,Senior,Male
95957.0,6.0,24.0,3.0,PhD,Finance,South,Mid,Female
72736.0,0.0,26.0,3.4,PhD,HR,West,Junior,Female
73139.0,1.0,21.0,1.3,Bachelor,Engineering,East,Junior,Female
143766.0,14.0,38.0,3.4,Master,Engineering,East,Senior,Male
56522.0,5.0,23.0,3.3,Bachelor,HR,North,Junior,Female
133961.0,15.0,36.0,4.5,PhD,HR,North,Senior,Female
90996.0,8.0,29.0,2.4,Master,HR,West,Mid,Female
106000.0,14.0,37.0,2.0,Bachelor,HR,South,Senior,Female
105488.0,9.0,33.0,2.9,Bachelor,Engineering,North,Mid,Female
72388.0,5.0,34.0,3.7,Bachelor,Sales,West,Mid,Female
97602.0,8.0,,3.2,Bachelor,,South,Mid,Female
135688.0,16.0,41.0,,Master,Finance,North,Senior,Male
122226.0,16.0,40.0,2.4,Bachelor,Marketing,North,Senior,Male
93437.0,11.0,31.0,1.3,Bachelor,Sales,West,Mid,Male
131704.0,13.0,42.0,4.0,Bachelor,Engineering,North,Senior,Female
85275.0,9.0,26.0,4.5,Bachelor,Sales,East,Mid,Female
110952.0,17.0,35.0,1.2,Bachelor,Sales,South,Senior,Male
115308.0,15.0,35.0,3.1,Master,,South,Senior,
90562.0,10.0,29.0,3.3,Bachelor,Marketing,East,Mid,Female
106345.0,,32.0,2.8,Master,Finance,West,Mid,
80719.0,7.0,26.0,3.0,Bachelor,Sales,East,Mid,Female
103996.0,6.0,31.0,3.8,Bachelor,Engineering,East,Mid,Male
111806.0,12.0,36.0,2.9,Master,HR,South,Senior,Male
77347.0,8.0,28.0,4.7,Bachelor,HR,West,Mid,Female
61518.0,3.0,24.0,3.2,Bachelor,Marketing,North,Junior,Male
72125.0,6.0,35.0,,Master,HR,East,Mid,Female
75113.0,,21.0,4.8,Bachelor,Sales,East,Junior,Female
89126.0,6.0,29.0,1.6,Bachelor,Marketing,West,Mid,Male
123373.0,11.0,34.0,4.1,Master,Sales,,Senior,Female
110518.0,10.0,27.0,3.1,Master,Engineering,West,Mid,Female
142583.0,17.0,34.0,4.0,Bachelor,Engineering,North,Senior,Male
,3.0,24.0,3.1,Bachelor,Engineering,West,Junior,Female
105729.0,14.0,39.0,1.2,Bachelor,Marketing,North,Senior,Female
80368.0,7.0,32.0,2.5,Bachelor,Sales,West,Mid,Male
70887.0,0.0,21.0,3.5,Master,Marketing,East,Junior,Female
111954.0,6.0,31.0,3.5,PhD,Finance,North,Mid,Female
146463.0,13.0,38.0,4.9,PhD,Engineering,East,Senior,Female
68418.0,2.0,23.0,3.4,Bachelor,Sales,,Junior,Male
76358.0,8.0,26.0,2.1,Bachelor,HR,West,Mid,Male
146308.0,12.0,38.0,1.2,Master,Engineering,West,Senior,Male
89771.0,3.0,24.0,4.2,Bachelor,Engineering,West,Junior,Female
108032.0,7.0,30.0,,Master,Engineering,South,Mid,Male
114548.0,8.0,31.0,3.5,Master,Engineering,South,Mid,Male
,1.0,26.0,2.9,PhD,,North,Junior,Male
79020.0,8.0,26.0,4.4,Bachelor,HR,South,Mid,Male
68490.0,0.0,23.0,2.0,Bachelor,Marketing,West,Junior,Female
128652.0,11.0,39.0,2.6,Master,Finance,South,Senior,Male
55127.0,0.0,23.0,3.0,Master,HR,South,Junior,Female
93400.0,0.0,26.0,1.2,PhD,Engineering,East,Junior,
101587.0,3.0,30.0,3.8,Bachelor,Finance,North,Mid,
95911.0,10.0,24.0,1.8,Master,Marketing,North,Mid,Male
66047.0,1.0,26.0,2.3,Master,HR,North,Junior,Female
123001.0,16.0,37.0,2.7,Bachelor,Finance,South,Senior,Male
125559.0,16.0,32.0,3.6,Master,Sales,West,Senior,Female
131611.0,15.0,37.0,1.3,Master,Engineering,East,Senior,Male
103822.0,,26.0,2.4,Bachelor,Engineering,North,Mid,Female
114988.0,20.0,2.0,2.1,Bachelor,Sales,South,Senior,Male
118638.0,17.0,37.0,1.0,Master,HR,West,Senior,Female
100062.0,5.0,27.0,3.8,Bachelor,,East,Mid,
95064.0,4.0,26.0,1.9,PhD,Engineering,East,Junior,Female
65037.0,0.0,25.0,1.7,Bachelor,Marketing,North,Junior,Male
88298.0,9.0,29.0,4.2,Bachelor,,North,Mid,Male
142443.0,9.0,34.0,1.2,PhD,Engineering,West,Senior,Male
121794.0,6.0,27.0,4.6,PhD,Engineering,South,Mid,Female
87524.0,9.0,27.0,3.7,Bachelor,Sales,West,Mid,Male
83256.0,2.0,26.0,1.7,Master,Finance,North,Junior,Male
55568.0,0.0,21.0,2.4,Bachelor,Sales,West,Junior,Male
87732.0,7.0,29.0,4.8,Bachelor,Marketing,South,Mid,Female
97392.0,15.0,37.0,3.5,Bachelor,HR,East,Senior,Female
77170.0,7.0,33.0,3.4,Bachelor,Sales,East,Mid,Male
137963.0,14.0,38.0,3.6,Master,Finance,East,Senior,Male
73220.0,,25.0,2.9,Master,Finance,East,Junior,Female
116355.0,9.0,28.0,1.7,PhD,Engineering,North,Mid,Female
,6.0,26.0,1.6,Master,Sales,North,Mid,Female
121219.0,18.0,37.0,3.7,Bachelor,Sales,,Senior,Male
97874.0,1.0,26.0,,Master,Engineering,South,Junior,Male
90176.0,1.0,26.0,2.2,PhD,Engineering,South,Junior,Female
70286.0,4.0,22.0,3.0,Master,Marketing,South,Junior,Male
130450.0,17.0,35.0,5.0,Master,Marketing,West,Senior,Female
82575.0,0.0,21.0,,PhD,Engineering,South,Junior,Female
72734.0,0.0,23.0,2.6,Bachelor,Engineering,East,Junior,Female
98697.0,10.0,30.0,2.5,Master,Finance,East,Mid,Female
120565.0,6.0,34.0,1.1,PhD,Engineering,East,Mid,Male
153292.0,15.0,38.0,3.0,PhD,Engineering,West,Senior,Female
102897.0,14.0,39.0,1.8,Bachelor,,South,Senior,Male
99374.0,9.0,27.0,1.5,Master,Finance,East,Mid,Male
146952.0,19.0,38.0,3.8,Master,Engineering,East,Senior,Female
89455.0,7.0,30.0,,Bachelor,Marketing,East,Mid,Male
69252.0,6.0,23.0,4.6,Master,HR,East,Junior,Male
135230.0,13.0,37.0,4.7,Bachelor,Engineering,North,Senior,Male
81056.0,6.0,30.0,4.5,,HR,South,Mid,Female
80800.0,8.0,31.0,,Bachelor,Sales,South,Mid,Female
97823.0,5.0,33.0,1.9,Master,Marketing,West,Mid,Female
85950.0,8.0,23.0,,Bachelor,Marketing,North,Mid,Male
55495.0,0.0,27.0,2.4,Bachelor,Marketing,West,Junior,Male
85077.0,3.0,24.0,1.5,Bachelor,Engineering,East,Mid,Female
115780.0,11.0,38.0,3.6,Bachelor,HR,West,Senior,Male
92454.0,6.0,37.0,3.9,Bachelor,Sales,East,Mid,Female
74025.0,2.0,23.0,1.6,Bachelor,Engineering,,Junior,Female
134911.0,12.0,38.0,3.5,Master,Engineering,South,Senior,Female
65165.0,2.0,23.0,1.1,Master,Marketing,,Junior,Male
59009.0,2.0,26.0,2.7,Bachelor,Marketing,South,Junior,Male
63944.0,1.0,25.0,2.1,,Engineering,South,Junior,Female
70586.0,0.0,21.0,5.0,Master,Marketing,South,Junior,Female
113509.0,7.0,29.0,4.7,Bachelor,Engineering,North,Mid,Female
96951.0,6.0,26.0,1.6,PhD,Marketing,South,Mid,Male
142490.0,16.0,37.0,4.7,Master,Engineering,,Senior,Female
108841.0,12.0,36.0,2.7,Bachelor,Marketing,,Senior,Female
115184.0,15.0,38.0,3.3,Bachelor,Sales,South,Senior,Male
107655.0,4.0,27.0,3.1,Master,Finance,North,Mid,Male
104963.0,6.0,29.0,3.9,,Engineering,West,Mid,Male
100251.0,12.0,38.0,2.3,Bachelor,Sales,West,Senior,Female
103811.0,5.0,30.0,1.3,Bachelor,Engineering,East,Mid,Male
136966.0,14.0,38.0,2.7,Master,Finance,West,Senior,Female
100299.0,5.0,29.0,3.2,Master,Finance,West,Mid,Female
99948.0,9.0,27.0,3.2,Bachelor,Engineering,West,Mid,Female
97466.0,9.0,30.0,,Master,Marketing,West,Mid,Male
83113.0,-4.0,29.0,1.2,Bachelor,HR,North,Mid,Female
,8.0,33.0,5.0,Master,Marketing,East,Mid,Male
90068.0,7.0,33.0,5.0,Bachelor,Marketing,South,Mid,Male
109502.0,,25.0,1.4,Master,Engineering,West,Mid,Male
149732.0,14.0,39.0,2.4,PhD,Engineering,North,Senior,Female
127286.0,19.0,40.0,3.4,Bachelor,Finance,East,Senior,Male
56679.0,0.0,21.0,2.5,Bachelor,Finance,South,Junior,Female
71221.0,0.0,25.0,,Bachelor,Marketing,East,Junior,Female
81964.0,4.0,32.0,2.3,Bachelor,Sales,North,Mid,Male
91479.0,4.0,27.0,3.8,Bachelor,Sales,North,Mid,Female
69616.0,0.0,,2.5,Master,HR,North,Junior,Male
92662.0,2.0,24.0,,PhD,Finance,West,Junior,Male
132259.0,16.0,39.0,,Bachelor,Finance,North,Senior,Male
125701.0,,35.0,4.9,Master,HR,South,Senior,Male
97563.0,4.0,33.0,3.6,Master,Marketing,West,Mid,Female
105479.0,6.0,23.0,1.4,Master,Engineering,East,Mid,Male
102263.0,8.0,33.0,2.3,Bachelor,Engineering,South,Mid,Female
270219.0,1.0,25.0,2.7,Bachelor,Finance,West,Junior,Female
88748.0,5.0,28.0,4.0,Bachelor,Marketing,North,Mid,Male
71781.0,,,2.8,Bachelor,Engineering,East,Junior,
112585.0,6.0,26.0,3.6,Master,Engineering,,Mid,Male
65358.0,0.0,24.0,4.4,Master,Marketing,South,Junior,
91598.0,6.0,30.0,1.4,Bachelor,Engineering,South,Mid,Male
104587.0,7.0,30.0,4.1,Bachelor,Engineering,West,Mid,
100703.0,6.0,27.0,4.0,MASTER,Marketing,South,MID,Male
78977.0,2.0,22.0,4.3,Master,Marketing,East,Junior,Female
82997.0,2.0,24.0,4.8,PhD,Marketing,West,Junior,Male
82959.0,4.0,27.0,2.2,Bachelor,Engineering,East,Mid,Female
78250.0,5.0,24.0,2.7,Master,HR,North,Junior,Male
80837.0,0.0,22.0,2.1,Master,Engineering,East,Junior,Female
102775.0,8.0,33.0,2.3,PhD,Sales,East,Mid,Male
326955.0,12.0,42.0,2.3,Bachelor,HR,South,Senior,Female
59081.0,2.0,23.0,4.5,Bachelor,Marketing,North,Junior,
69305.0,7.0,32.0,,Bachelor,HR,South,Mid,Female
140950.0,18.0,37.0,1.8,PhD,Marketing,North,Senior,Male
133594.0,14.0,35.0,3.4,PhD,Marketing,,Senior,Female
99237.0,4.0,22.0,4.1,PhD,Engineering,East,Junior,Male
123203.0,15.0,,3.8,PhD,Sales,South,Senior,Male
108756.0,10.0,24.0,1.2,Bachelor,Engineering,East,Mid,Male
125303.0,11.0,39.0,2.8,Bachelor,Engineering,East,Senior,Female
103509.0,7.0,30.0,1.7,Bachelor,,East,Mid,Female
116333.0,9.0,41.0,5.0,Bachelor,Sales,North,Senior,Male
141355.0,14.0,39.0,5.0,Master,Finance,South,Senior,Female
96111.0,9.0,30.0,1.2,PhD,Marketing,South,Mid,Male
107928.0,17.0,36.0,3.7,Bachelor,HR,East,Senior,Male
77367.0,3.0,28.0,4.3,Master,Marketing,North,Junior,Male
78600.0,1.0,30.0,2.3,PhD,Marketing,South,Junior,Female
90643.0,8.0,28.0,3.8,Bachelor,Sales,West,Mid,Male
133772.0,20.0,41.0,1.8,Bachelor,Engineering,South,Senior,Female
87258.0,7.0,27.0,1.5,Bachelor,HR,,Mid,Female
108059.0,8.0,28.0,4.7,Bachelor,Engineering,West,Mid,Male
107449.0,6.0,28.0,3.6,Master,Engineering,North,Mid,Female
67432.0,4.0,26.0,,Bachelor,Marketing,West,Junior,Female
96973.0,8.0,26.0,3.1,Bachelor,Engineering,West,Mid,Female
110965.0,5.0,34.0,1.6,PhD,,East,Mid,Male
138107.0,16.0,40.0,2.5,Master,Finance,South,Senior,Male
85644.0,3.0,25.0,4.5,Bachelor,Finance,North,Junior,Female
97115.0,8.0,29.0,1.1,PhD,Sales,West,Mid,Female
75235.0,1.0,26.0,1.8,Bachelor,Engineering,East,Junior,Male
67292.0,4.0,21.0,2.0,Bachelor,Finance,South,Junior,Male
92241.0,5.0,31.0,2.1,,Sales,West,Mid,Female
86527.0,7.0,30.0,1.4,Bachelor,Finance,East,Mid,Male
80290.0,2.0,21.0,4.4,Master,Finance,East,Junior,Male
51211.0,4.0,25.0,1.6,Bachelor,Finance,East,Junior,Female
128603.0,13.0,39.0,4.3,,Engineering,North,Senior,Male
113244.0,15.0,32.0,2.4,Master,Sales,South,Senior,
68446.0,1.0,21.0,2.8,Bachelor,Finance,West,Junior,Female
81925.0,7.0,36.0,2.9,Master,Sales,,Mid,Female
78150.0,2.0,23.0,,Master,Engineering,South,Junior,Female
141007.0,12.0,40.0,3.9,PhD,Marketing,West,Senior,Male
101200.0,9.0,33.0,3.6,Master,Finance,South,Mid,Male
112453.0,15.0,39.0,4.1,Bachelor,Marketing,North,Senior,Male
61685.0,0.0,27.0,1.0,Master,Marketing,West,Junior,Male
100652.0,6.0,23.0,3.0,Master,Engineering,West,Mid,Female
95948.0,9.0,29.0,3.1,Master,Marketing,East,Mid,Male
76398.0,2.0,21.0,2.0,Master,Finance,South,Junior,Female
76832.0,,21.0,3.2,Master,Engineering,West,Junior,Female
83901.0,5.0,28.0,2.9,Bachelor,Marketing,West,Mid,Female
113498.0,8.0,28.0,2.9,Master,Finance,North,Mid,Male
60480.0,3.0,24.0,1.5,Bachelor,HR,East,Junior,Female
87496.0,7.0,29.0,2.7,Bachelor,Marketing,West,Mid,Female
71738.0,1.0,24.0,,Master,HR,North,Junior,Male
60015.0,3.0,24.0,,Bachelor,Sales,West,Junior,
107594.0,,30.0,2.9,Bachelor,Engineering,,Mid,Male
62646.0,0.0,21.0,4.9,Bachelor,HR,West,Junior,Male
91378.0,10.0,27.0,4.5,Master,HR,North,Mid,Female
93846.0,7.0,29.0,4.7,Bachelor,Finance,South,Mid,Female
95521.0,5.0,29.0,1.3,Master,Finance,West,Mid,Male
86405.0,7.0,26.0,3.5,Bachelor,Marketing,West,Mid,Male
117077.0,15.0,41.0,1.9,Bachelor,Marketing,South,Senior,Female
77918.0,6.0,32.0,2.6,Bachelor,,West,Mid,Female
89227.0,7.0,27.0,3.7,Master,Marketing,East,Mid,
61403.0,0.0,23.0,,Bachelor,HR,West,Junior,Female
106182.0,8.0,36.0,3.0,PhD,HR,East,Mid,Female
106873.0,6.0,30.0,4.3,,Finance,South,Mid,Female
76799.0,0.0,25.0,3.7,Master,Sales,North,Junior,Female
13953.0,,28.0,4.3,PhD,Sales,South,Mid,Female
76240.0,0.0,23.0,4.7,Bachelor,Engineering,West,Junior,Female
76294.0,0.0,28.0,3.8,Master,Marketing,East,Junior,Female
80540.0,1.0,24.0,2.6,Master,Engineering,North,Junior,Male
90491.0,9.0,29.0,1.9,Master,Sales,West,Mid,Male
128625.0,,38.0,2.1,PhD,Marketing,North,Senior,Male
85616.0,3.0,31.0,2.6,Master,Engineering,North,Junior,Male
109655.0,7.0,30.0,4.0,PhD,Marketing,West,Mid,Female
70226.0,1.0,21.0,1.2,Bachelor,Engineering,South,Junior,Male
80444.0,0.0,22.0,,Master,Engineering,West,Junior,Female
115451.0,12.0,40.0,4.0,Master,HR,,Senior,Female
84276.0,8.0,25.0,3.0,Master,Sales,South,Mid,Female
79054.0,3.0,25.0,2.6,Bachelor,Engineering,East,Junior,Female
77765.0,1.0,21.0,1.5,Master,Marketing,West,Junior,
124328.0,10.0,32.0,2.2,PhD,HR,North,Senior,Male
77259.0,2.0,21.0,1.4,Bachelor,Engineering,West,Junior,Male
80605.0,0.0,24.0,4.3,Master,Marketing,West,Junior,Male
99485.0,7.0,34.0,3.0,Bachelor,Engineering,North,Mid,Female
116164.0,3.0,32.0,2.0,PhD,Engineering,South,Mid,Male
79777.0,,29.0,1.1,Bachelor,,East,Mid,Male
113198.0,14.0,40.0,3.1,,Marketing,,Senior,Female
61751.0,0.0,22.0,4.0,Bachelor,Marketing,North,Junior,Female
,10.0,25.0,4.1,Master,HR,South,Mid,Male
68925.0,1.0,24.0,1.9,Bachelor,Finance,West,Junior,Female
96991.0,6.0,25.0,5.0,Master,Marketing,West,Mid,Female
134178.0,16.0,40.0,3.3,PhD,,,Senior,Male
,6.0,32.0,2.3,PhD,HR,West,Mid,Male
90941.0,7.0,27.0,2.6,Bachelor,Engineering,West,Mid,Female
130912.0,12.0,38.0,1.5,PhD,Sales,North,Senior,Female
92160.0,1.0,24.0,3.0,Master,Engineering,West,Junior,Male
100607.0,3.0,32.0,4.0,Bachelor,Engineering,West,Mid,Male
125039.0,14.0,34.0,-1.0,Bachelor,Finance,South,Senior,Male
81812.0,9.0,31.0,4.5,Bachelor,HR,West,Mid,Female
76087.0,0.0,21.0,2.9,Master,Marketing,East,Junior,Male
67050.0,1.0,26.0,4.6,Bachelor,Sales,North,Junior,Male
72474.0,0.0,27.0,3.8,Bachelor,Engineering,North,Junior,Male
89076.0,2.0,21.0,1.2,Master,Engineering,North,Junior,Female
108188.0,7.0,33.0,1.3,Master,Engineering,East,Mid,Female
83858.0,2.0,21.0,,Master,Marketing,West,Junior,Male
72519.0,0.0,27.0,2.4,Master,HR,North,Junior,Female
85009.0,2.0,34.0,1.8,,Marketing,East,Mid,Male
117869.0,4.0,31.0,4.5,PhD,,South,Mid,Male
106465.0,9.0,29.0,4.9,Bachelor,Finance,West,Mid,Male
85606.0,8.0,30.0,4.2,Master,HR,East,Mid,Female
71514.0,1.0,22.0,3.9,Master,Marketing,West,Junior,Male
71521.0,2.0,31.0,1.0,Bachelor,Marketing,South,Junior,Female
63561.0,0.0,22.0,1.4,PhD,Sales,East,Junior,Female
107851.0,9.0,33.0,3.7,Bachelor,Engineering,West,Mid,Male
56202.0,0.0,21.0,2.6,Bachelor,Sales,East,Junior,Female
102166.0,7.0,34.0,1.1,PhD,HR,North,Mid,Male
89493.0,0.0,30.0,4.0,Master,Engineering,West,Junior,Male
144572.0,14.0,39.0,2.7,Master,Engineering,East,Senior,Male
114575.0,9.0,30.0,3.6,Master,Engineering,,Mid,Male
105071.0,5.0,27.0,2.9,Master,Engineering,South,Mid,Female
126528.0,16.0,34.0,1.1,Bachelor,Finance,West,Senior,Male
77841.0,4.0,30.0,3.5,Bachelor,HR,West,Mid,
79529.0,5.0,34.0,4.2,Bachelor,Sales,South,Mid,Male
136089.0,14.0,36.0,1.6,Bachelor,Engineering,North,Senior,Male
96124.0,8.0,36.0,4.6,Master,Sales,South,Mid,Female
115381.0,14.0,36.0,1.7,Bachelor,Sales,West,Senior,Female
107773.0,8.0,30.0,2.7,Bachelor,Engineering,East,Mid,Male
115611.0,17.0,38.0,3.1,Bachelor,Sales,North,Senior,Female
66345.0,0.0,23.0,2.3,Master,Sales,North,Junior,Male
68995.0,0.0,21.0,3.0,Master,Marketing,North,Junior,Male
88255.0,6.0,28.0,3.9,Bachelor,Marketing,South,Mid,Male
86854.0,4.0,24.0,3.9,Master,Engineering,South,Junior,Female
63416.0,0.0,23.0,4.7,Bachelor,Sales,East,Junior,Male
70326.0,4.0,25.0,4.4,Master,Marketing,East,Junior,Female
93520.0,6.0,32.0,4.9,Bachelor,Marketing,North,Mid,Female
135585.0,18.0,37.0,3.4,Bachelor,Finance,East,Senior,Male
95605.0,11.0,,2.6,Master,Marketing,South,Mid,Female
,17.0,42.0,2.0,PhD,Engineering,East,Senior,Male
93816.0,3.0,25.0,2.0,Bachelor,Engineering,South,Mid,Female
64354.0,0.0,22.0,1.6,Master,Marketing,East,Junior,
94497.0,2.0,21.0,3.9,Master,Engineering,West,Junior,Female
105774.0,8.0,32.0,3.6,PhD,Marketing,South,Mid,Female
68588.0,3.0,27.0,2.2,Bachelor,Finance,West,Junior,Male
60632.0,0.0,23.0,4.6,Bachelor,Marketing,South,Junior,Male
100324.0,4.0,30.0,3.2,,Sales,,Mid,Male
81416.0,8.0,31.0,1.3,Bachelor,Marketing,,Mid,Male
90297.0,10.0,35.0,1.2,Bachelor,Sales,East,Mid,Male
97819.0,13.0,32.0,1.6,Bachelor,Marketing,South,Senior,Male
108118.0,8.0,32.0,1.8,Master,Finance,West,Mid,Male
97051.0,12.0,31.0,4.5,Bachelor,Sales,North,Mid,Female
134262.0,14.0,36.0,4.1,PhD,Finance,East,Senior,Female
67617.0,1.0,24.0,1.8,Bachelor,Finance,South,Junior,Male
99325.0,8.0,32.0,2.0,Bachelor,Engineering,West,Mid,Male
137687.0,14.0,39.0,3.5,Bachelor,,East,Senior,Female
102812.0,9.0,36.0,4.5,Bachelor,Engineering,West,Mid,Female
141495.0,14.0,38.0,2.3,Master,Engineering,East,Senior,Male
112891.0,6.0,30.0,3.1,Master,,East,Mid,
81837.0,4.0,29.0,4.6,Bachelor,Marketing,East,Mid,Female
85888.0,1.0,25.0,4.1,Bachelor,Engineering,West,Junior,Female
119922.0,12.0,37.0,4.6,Master,Sales,West,Senior,Female
,15.0,38.0,2.1,Master,HR,East,Senior,Female
150421.0,11.0,38.0,3.8,Master,Engineering,North,Senior,Female
93551.0,8.0,29.0,1.5,Master,HR,North,Mid,Male
80460.0,0.0,22.0,3.5,Bachelor,Engineering,North,Junior,Female
93534.0,5.0,25.0,2.2,PhD,Engineering,South,Junior,Male
,17.0,37.0,,Bachelor,Marketing,North,Senior,Female
89941.0,8.0,31.0,1.6,Bachelor,Marketing,West,Mid,Male
80397.0,0.0,24.0,3.7,Master,Finance,North,Junior,Male
106195.0,5.0,28.0,3.8,PhD,HR,West,Mid,Male
87649.0,5.0,34.0,,Master,HR,South,Mid,Male
104084.0,5.0,29.0,3.7,,Engineering,West,Mid,Male
102347.0,10.0,31.0,3.1,,Engineering,West,Mid,Female
77607.0,6.0,27.0,4.1,Bachelor,HR,West,Mid,Male
120567.0,13.0,31.0,2.1,PhD,HR,,Senior,Female
70393.0,0.0,22.0,3.7,,Finance,East,Junior,Male
70565.0,0.0,21.0,3.9,Master,Sales,,Junior,Female
84609.0,8.0,29.0,2.6,Bachelor,Sales,North,Mid,Male
118143.0,,42.0,5.0,Master,HR,North,Senior,Male
,7.0,27.0,2.4,PhD,Sales,North,Mid,Female
95932.0,7.0,23.0,1.3,Bachelor,Finance,East,Mid,Female
88187.0,3.0,34.0,2.2,Bachelor,Finance,East,Mid,Female
73411.0,,28.0,1.4,Master,Sales,East,Mid,Female
115961.0,14.0,37.0,2.4,Master,HR,East,Senior,Female
114823.0,17.0,40.0,1.5,Master,HR,South,Senior,Male
112122.0,9.0,31.0,2.8,Master,Engineering,East,Mid,Male
93263.0,5.0,32.0,4.1,Bachelor,Finance,East,Mid,Male
76034.0,4.0,26.0,1.3,Master,Marketing,East,Junior,Female
79333.0,6.0,24.0,3.3,Bachelor,HR,West,Mid,Male
94548.0,6.0,25.0,1.2,PhD,,West,Mid,Female
97919.0,7.0,33.0,4.5,Bachelor,Finance,East,Mid,Male
,,21.0,4.7,Master,,South,Junior,Female
130574.0,13.0,35.0,3.0,Bachelor,Engineering,West,Senior,Female
